Reference_Ligand,Query_Ligand,Num_Atoms_in_MCS
EDG-MED-5d232de5-6,EDG-MED-5d232de5-6,26
EDG-MED-5d232de5-6,MAT-POS-f2460aef-1,10
EDG-MED-5d232de5-6,MAT-POS-e69ad64a-2,23
EDG-MED-5d232de5-6,MAT-POS-50a80394-2,23
EDG-MED-5d232de5-6,BRU-CON-c4e3408a-1,20
EDG-MED-5d232de5-6,PET-UNK-7fb4f80a-2,21
EDG-MED-5d232de5-6,EDJ-MED-2f867453-1,24
EDG-MED-5d232de5-6,RAL-THA-4aa06b95-7,25
EDG-MED-5d232de5-6,MAT-POS-4223bc15-12,23
EDG-MED-5d232de5-6,EDJ-MED-968bafd9-1,23
EDG-MED-5d232de5-6,MAT-POS-853c0ffa-9,23
EDG-MED-5d232de5-6,ALP-POS-477dc5b7-4,23
EDG-MED-5d232de5-6,EDG-MED-971238d3-5,23
EDG-MED-5d232de5-6,EDG-MED-ba1ac7b9-19,25
EDG-MED-5d232de5-6,EDG-MED-0e5afe9d-1,20
EDG-MED-5d232de5-6,MAT-POS-90fd5f68-28,21
EDG-MED-5d232de5-6,ALP-POS-e0fe77e5-13,24
EDG-MED-5d232de5-6,MAT-POS-fce787c2-5,22
EDG-MED-5d232de5-6,EDG-MED-5d232de5-7,24
EDG-MED-5d232de5-6,MAT-POS-90fd5f68-7,21
EDG-MED-5d232de5-6,PET-UNK-29afea89-2,23
EDG-MED-5d232de5-6,MAT-POS-5cd9ea36-22,23
EDG-MED-5d232de5-6,MAT-POS-78e1d523-1,24
EDG-MED-5d232de5-6,RAL-THA-2d450e86-26,20
EDG-MED-5d232de5-6,MAT-POS-8293a91a-8,23
EDG-MED-5d232de5-6,LON-WEI-9739a092-6,21
EDG-MED-5d232de5-6,EDG-MED-ba1ac7b9-11,25
EDG-MED-5d232de5-6,PET-UNK-7fb4f80a-1,21
EDG-MED-5d232de5-6,EDG-MED-70ae9412-1,23
EDG-MED-5d232de5-6,VLA-UCB-34f3ed0c-11,23
EDG-MED-5d232de5-6,MAT-POS-de59a476-4,22
EDG-MED-5d232de5-6,MAT-POS-5cd9ea36-17,23
EDG-MED-5d232de5-6,EDG-MED-70ae9412-2,23
EDG-MED-5d232de5-6,EDG-MED-5d232de5-3,26
EDG-MED-5d232de5-6,EDJ-MED-c3ea9889-6,23
EDG-MED-5d232de5-6,PET-UNK-bb7ffe78-1,21
EDG-MED-5d232de5-6,ALP-POS-869ac754-1,24
EDG-MED-5d232de5-6,MAT-POS-5d65ec79-2,25
EDG-MED-5d232de5-6,MAT-POS-7174c657-5,22
EDG-MED-5d232de5-6,EDG-MED-b1ef7fe3-1,23
EDG-MED-5d232de5-6,EDJ-MED-43f8f7d6-4,23
EDG-MED-5d232de5-6,RUB-POS-1325a9ea-4,21
EDG-MED-5d232de5-6,RAL-THA-2d450e86-30,20
EDG-MED-5d232de5-6,EDJ-MED-e4b030d8-11,24
EDG-MED-5d232de5-6,MAT-POS-dd3ad2b5-2,23
EDG-MED-5d232de5-6,MAT-POS-fb82b63d-1,22
EDG-MED-5d232de5-6,MAT-POS-1bed62cf-3,23
EDG-MED-5d232de5-6,ALP-POS-8b8a49e1-4,14
EDG-MED-5d232de5-6,EDG-MED-ba1ac7b9-21,25
EDG-MED-5d232de5-6,MAT-POS-e119ab4f-3,23
EDG-MED-5d232de5-6,EDJ-MED-8c98ee63-2,23
EDG-MED-5d232de5-6,MAT-POS-5cd9ea36-15,23
EDG-MED-5d232de5-6,ERI-UCB-d6de1f3c-2,10
EDG-MED-5d232de5-6,MAT-POS-2e8b2191-12,23
EDG-MED-5d232de5-6,MAT-POS-fce787c2-6,21
EDG-MED-5d232de5-6,MAT-POS-de59a476-2,22
EDG-MED-5d232de5-6,EDJ-MED-e69ed63d-13,23
EDG-MED-5d232de5-6,RAL-THA-2d450e86-6,21
EDG-MED-5d232de5-6,JIN-POS-6dc588a4-6,17
EDG-MED-5d232de5-6,RAL-THA-2d450e86-12,20
EDG-MED-5d232de5-6,EDJ-MED-8bb691af-6,23
EDG-MED-5d232de5-6,ALP-POS-477dc5b7-5,23
EDG-MED-5d232de5-6,EDG-MED-ba1ac7b9-13,25
EDG-MED-5d232de5-6,ALP-UNI-3735e77e-2,24
EDG-MED-5d232de5-6,RAL-THA-8416115c-5,26
EDG-MED-5d232de5-6,MAT-POS-e6dd326d-6,23
EDG-MED-5d232de5-6,MAT-POS-90fd5f68-13,21
EDG-MED-5d232de5-6,ALP-UNI-3735e77e-1,24
EDG-MED-5d232de5-6,TRY-UNI-2eddb1ff-7,17
EDG-MED-5d232de5-6,MIK-ENA-5d9157e9-6,18
EDG-MED-5d232de5-6,MAT-POS-4223bc15-3,23
EDG-MED-5d232de5-6,MAT-POS-4223bc15-11,23
EDG-MED-5d232de5-6,MAT-POS-4223bc15-23,23
EDG-MED-5d232de5-6,EDJ-MED-1981ceba-4,23
EDG-MED-5d232de5-6,ALP-UNI-8d415491-3,24
EDG-MED-5d232de5-6,MAT-POS-90fd5f68-2,21
EDG-MED-5d232de5-6,VLA-UNK-82501c2c-1,20
EDG-MED-5d232de5-6,EDJ-MED-705e09b8-1,19
EDG-MED-5d232de5-6,EDJ-MED-1981ceba-3,23
EDG-MED-5d232de5-6,MAT-POS-90fd5f68-38,21
EDG-MED-5d232de5-6,RAL-THA-2d450e86-1,20
EDG-MED-5d232de5-6,MAT-POS-e9e99895-11,22
EDG-MED-5d232de5-6,EDJ-MED-8bb691af-8,23
EDG-MED-5d232de5-6,EDG-MED-10fcb19e-1,23
EDG-MED-5d232de5-6,EDJ-MED-4fff0a85-3,23
EDG-MED-5d232de5-6,EDJ-MED-7889e8da-3,23
EDG-MED-5d232de5-6,MAT-POS-fce787c2-4,22
